stop_id,stop_name,stop_lat,stop_lon
0001,CHARLOTTE & MONTICELLO,36.85192,-76.28732
0003,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0006,SAINT PAULS & PLUME,36.84645,-76.28593
0007,SAINT PAULS & MAIN,36.84542,-76.28678
0008,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0011,MONTICELLO & BRAMBLETON (Radisson),36.85478,-76.28709
0012,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0014,MONTICELLO & 15TH,36.86285,-76.28581
0015,MONTICELLO & 18TH,36.86517,-76.28484
0016,MONTICELLO & 21ST,36.86689,-76.28412
0017,26TH & ARMISTEAD,36.87037,-76.28147
0018,MONTICELLO & 29TH,36.87289,-76.28145
0020,GRANBY & 33RD,36.87707,-76.28177
0021,GRANBY & 35TH,36.87846,-76.28198
0023,GRANBY & DELAWARE,36.88299,-76.28159
0024,GRANBY & 42ND,36.88497,-76.28129
0026,GRANBY & WILLOW WOOD,36.89096,-76.27881
0027,GRANBY & ARDEN,36.89272,-76.27871
0028,GRANBY & SEVERN,36.89479,-76.27907
0030,GRANBY & KINGSLEY,36.89768,-76.27959
0031,GRANBY & CONWAY,36.89985,-76.27891
0032,GRANBY & SIR OLIVER,36.90239,-76.27782
0033,GRANBY & SEEKEL,36.90583,-76.27633
0034,GRANBY & FORSYTHE,36.90708,-76.27579
0036,GRANBY & GRANBY PARK,36.91018,-76.27447
0037,GRANBY & SUBURBAN,36.91227,-76.27356
0038,GRANBY & LITTLE CREEK,36.91421,-76.27274
0039,WARDS CORNER TRANSFER,36.91801,-76.27216
0040,GRANBY & CEMETARY,36.92798,-76.26780
0042,GRANBY & BAYVIEW,36.93461,-76.26412
0043,GRANBY & WESTMONT,36.93783,-76.26232
0044,GRANBY & CHESTER,36.93963,-76.26131
0045,GRANBY & BAY,36.94143,-76.26037
0046,GRANBY & RANDALL,36.94341,-76.25970
0047,GRANBY & GILPIN,36.94477,-76.25925
0048,GRANBY & BATTERSEA,36.94811,-76.25634
0050,GRANBY & DUPRE,36.94947,-76.25481
0051,GRANBY & GOVERNMENT,36.94996,-76.25426
0052,GRANBY & SEAVIEW,36.95141,-76.25263
0053,DUFFYS & GRANBY,36.95361,-76.25177
0054,OCEAN VIEW & HAMMETT,36.95109,-76.24792
0055,OCEAN VIEW & NORFOLK,36.94983,-76.24585
0056,OCEAN VIEW & CHESAPEAKE ST,36.94733,-76.24070
0059,OCEAN VIEW & WARWICK,36.94483,-76.23688
0062,OCEAN VIEW & STURGIS,36.94204,-76.23190
0064,OCEAN VIEW & BEAUMONT,36.94039,-76.22861
0065,OCEAN VIEW & GROVE,36.93920,-76.22538
0067,OCEAN VIEW & INLET,36.93746,-76.22025
0068,OCEAN VIEW & 1ST BAY,36.93646,-76.21722
0069,OCEAN VIEW & 2ND BAY,36.93546,-76.21459
0070,OCEAN VIEW & 4TH BAY,36.93484,-76.21234
0071,OCEAN VIEW & 7TH BAY,36.93389,-76.20863
0072,OCEAN VIEW & 10TH BAY,36.93311,-76.20560
0074,OCEAN VIEW & 14TH BAY,36.93193,-76.20101
0075,OCEAN VIEW & 16TH BAY,36.93139,-76.19873
0077,OCEAN VIEW & 19TH BAY,36.93073,-76.19498
0079,SHORE & 22ND BAY,36.92900,-76.19161
0080,SHORE & DUNNING,36.92109,-76.19266
0081,SHORE & AMPHIBIOUS BASE (Gate 1),36.91693,-76.19121
0082,SHORE & FLOWERFIELD,36.91488,-76.19123
0083,SHORE & HEUTTE,36.91254,-76.18992
0084,SHORE & DIAMOND SPRINGS,36.90550,-76.17830
0085,SHORE & LOUGH,36.90569,-76.17617
0086,SHORE & LAKE SMITH,36.90662,-76.17269
0087,SHORE & KIMBALL,36.90710,-76.16955
0088,SHORE & LAKE SHORES,36.90687,-76.16137
0089,SHORE & JACK FROST,36.90694,-76.15572
0090,SHORE & GELA,36.90630,-76.15071
0091,SHORE & INDEPENDENCE,36.90608,-76.14915
0092,SHORE & WELLINGS,36.90539,-76.14391
0093,SHORE & OLIVER (far),36.90454,-76.13768
0094,PLEASURE HOUSE & VICTORY,36.90179,-76.13660
0095,PLEASURE HOUSE & FIRST COURT,36.89783,-76.13823
0096,PLEASURE HOUSE & INDEPENDENCE,36.89443,-76.14196
0097,INDEPENDENCE & EWELL,36.88418,-76.13474
0098,INDEPENDENCE & PAUL REVERE,36.87979,-76.13333
0099,INDEPENDENCE & HAYGOOD,36.87432,-76.13472
0101,INDEPENDENCE & WITCHDUCK,36.86792,-76.13303
0102,INDEPENDENCE & PEMBROKE (near side),36.86366,-76.13231
0103,INDEPENDENCE & JERICHO,36.85542,-76.13501
0104,INDEPENDENCE & HINSDALE (far side),36.85144,-76.13679
0105,INDEPENDENCE & JEANNE,36.84792,-76.13692
0106,CORPORATION & CONSTITUTION,36.84702,-76.12976
0107,SHORE & WINDWARD,36.90396,-76.13146
0108,NIMMO & UPTON,36.76152,-76.00674
0109,ELSON GREEN & UPTON,36.75652,-76.00803
0110,INDEPENDENCE & BROAD,36.84590,-76.13661
0111,INDEPENDENCE & JEANNE,36.84851,-76.13655
0112,INDEPENDENCE & CONSTITUTION,36.85588,-76.13442
0113,INDEPENDENCE & HESSIAN,36.85818,-76.13346
0114,INDEPENDENCE & PEMBROKE (mdblk),36.86378,-76.13197
0115,INDEPENDENCE & WITCHDUCK (mdblk),36.86778,-76.13270
0116,INDEPENDENCE & WISHART,36.87533,-76.13435
0117,INDEPENDENCE & WAKEFIELD,36.88060,-76.13301
0118,INDEPENDENCE & FIVE FORKS,36.88803,-76.13676
0120,INDEPENDENCE & SMOKEY,36.89268,-76.14000
0121,PLEASURE HOUSE & ANDREW JACKSON,36.89497,-76.14124
0122,SHORE & GELA,36.90651,-76.15045
0123,SHORE & JACK FROST,36.90719,-76.15594
0124,SHORE & LAKE SHORES,36.90709,-76.16189
0125,SHORE & KIMBALL,36.90738,-76.16994
0126,SHORE & LAKE SMITH,36.90690,-76.17256
0127,SHORE & DIAMOND SPRINGS,36.90580,-76.17892
0128,SHORE & FLOWERFIELD,36.91517,-76.19111
0129,SHORE & DUNNING,36.92087,-76.19239
0130,SHORE & HARBOR WALK,36.92349,-76.19183
0132,OCEAN VIEW & 18TH BAY,36.93106,-76.19619
0133,OCEAN VIEW & 16TH BAY,36.93148,-76.19866
0135,OCEAN VIEW & 12TH BAY,36.93257,-76.20308
0136,OCEAN VIEW & 10TH BAY,36.93316,-76.20535
0137,OCEAN VIEW & 9TH BAY,36.93357,-76.20696
0138,OCEAN VIEW & 6TH BAY,36.93444,-76.21035
0139,OCEAN VIEW & 1ST BAY (mdblk),36.93654,-76.21714
0140,OCEAN VIEW & CAPEVIEW,36.93782,-76.22098
0141,OCEAN VIEW & GROVE,36.93940,-76.22561
0143,OCEAN VIEW & WILLOW,36.94148,-76.23051
0145,OCEAN VIEW & BEACH VIEW 1,36.94317,-76.23385
0147,OCEAN VIEW & WARWICK,36.94553,-76.23786
0148,OCEAN VIEW & CHESAPEAKE BLVD,36.94921,-76.24322
0149,OCEAN VIEW & NORFOLK,36.95013,-76.24614
0151,FIRST VIEW & DUPRE,36.95145,-76.25819
0153,FIRST VIEW & MAPLE,36.94958,-76.26019
0154,FIRST VIEW & BURGOYNE,36.94603,-76.26853
0155,FIRST VIEW & BEARDEN,36.94723,-76.26551
0156,FIRST VIEW & GOVERNMENT,36.95202,-76.25762
0157,FIRST VIEW & D VIEW,36.95286,-76.25679
0158,FIRST VIEW & BALVIEW,36.95391,-76.25574
0159,GRANBY & SEAVIEW,36.95171,-76.25281
0160,GRANBY & GOVERNMENT,36.95030,-76.25441
0161,GRANBY & CHERRY,36.94912,-76.25573
0162,GRANBY & LEICESTER,36.94301,-76.26017
0163,GRANBY & OCEAN,36.94252,-76.26033
0164,GRANBY & CHESTER,36.93957,-76.26172
0165,GRANBY & WESTMONT,36.93764,-76.26281
0166,GRANBY & EVANS,36.93489,-76.26435
0167,GRANBY & I-64 EAST,36.92511,-76.26904
0168,GRANBY & CEMETARY,36.92219,-76.26982
0169,GRANBY & LITTLE CREEK,36.91556,-76.27273
0170,GRANBY & NORTH SHORE,36.91269,-76.27370
0171,GRANBY & WARREN,36.90897,-76.27530
0172,GRANBY & FIFE,36.90825,-76.27561
0173,GRANBY & THOLE,36.90637,-76.27643
0174,GRANBY & BRACKENRIDGE,36.90477,-76.27712
0175,GRANBY & OAK GROVE,36.90301,-76.27788
0176,GRANBY & TALBOT HALL,36.90151,-76.27853
0177,GRANBY & WHITING,36.90059,-76.27893
0178,GRANBY & KINGSLEY,36.89791,-76.27989
0179,GRANBY & BELVEDERE,36.89532,-76.27948
0180,GRANBY & ARDEN,36.89289,-76.27905
0181,GRANBY & WILLOW WOOD,36.89063,-76.27918
0182,GRANBY & 42ND,36.88557,-76.28146
0183,GRANBY & 37TH,36.88007,-76.28224
0184,GRANBY & 35TH,36.87864,-76.28224
0185,GRANBY & 33RD,36.87684,-76.28195
0186,GRANBY & MONTICELLO,36.87379,-76.28131
0187,MONTICELLO & 29TH,36.87286,-76.28161
0188,MONTICELLO & 25TH,36.87023,-76.28279
0189,MONTICELLO & 19TH,36.86613,-76.28458
0190,MONTICELLO & 18TH,36.86474,-76.28516
0191,MONTICELLO & 15TH,36.86243,-76.28612
0192,MONTICELLO & PRINCESS ANNE,36.86046,-76.28691
0194,MONTICELLO & VIRGINIA BEACH,36.85763,-76.28681
0195,MONTICELLO & STARKE,36.85512,-76.28706
0197,WOODLAKE & OLD GREENBRIAR,36.79050,-76.23528
0198,OLD GREENBRIAR & JUNIPER,36.79377,-76.23456
0199,OLD GREENBRIAR & JUNIPER,36.79414,-76.23447
0203,OLNEY & COLONIAL,36.85887,-76.29642
0204,OLNEY & STOCKLEY GARDENS,36.85982,-76.29850
0205,OLNEY & NORFOLK GENERAL,36.86162,-76.30249
0208,HAMPTON & GRAYDON,36.86595,-76.30107
0209,HAMPTON & PRINCESS ANNE,36.86664,-76.30045
0211,HAMPTON & SPOTSWOOD,36.86903,-76.30066
0212,HAMPTON & GATES,36.87039,-76.30098
0213,HAMPTON & 25TH,36.87547,-76.30182
0214,HAMPTON & 27TH,36.87708,-76.30192
0215,HAMPTON & 35TH,36.87786,-76.30196
0216,HAMPTON & 37TH,36.87886,-76.30202
0217,HAMPTON & 39TH,36.88091,-76.30212
0219,HAMPTON & 45TH,36.88435,-76.30232
0220,HAMPTON & 46TH,36.88586,-76.30242
0221,HAMPTON & 48TH,36.88723,-76.30252
0222,HAMPTON & BOLLING,36.89120,-76.30390
0223,HAMPTON & ROCKBRIDGE,36.89441,-76.30325
0224,HAMPTON & MAGNOLIA,36.89547,-76.30293
0225,HAMPTON & SURRY,36.89681,-76.30285
0226,HAMPTON & BEDFORD,36.89970,-76.30312
0227,HAMPTON & ESCADRILLE,36.90195,-76.30381
0228,HAMPTON & HELENA,36.91013,-76.30561
0229,HAMPTON & LITTLE CREEK,36.91550,-76.30777
0230,HAMPTON & DANIEL,36.91651,-76.30881
0231,HAMPTON & STAFF COLLEGE,36.91992,-76.31244
0232,HAMPTON & PORTER,36.92196,-76.31465
0233,HAMPTON & BAKER,36.92341,-76.31601
0234,HAMPTON & FORREST,36.92803,-76.31752
0235,HAMPTON & BEECHWOOD,36.92947,-76.31765
0239,HAMMOND & ADMIRAL TAUSSIG,36.94333,-76.31205
0240,HAMPTON & B,36.93646,-76.31854
0241,HAMPTON & D,36.93365,-76.31831
0242,HAMPTON & GREENBRIER,36.93256,-76.31822
0243,HAMPTON & MAPLESHADE,36.93077,-76.31806
0244,HAMPTON & BEECHWOOD,36.92927,-76.31792
0245,HAMPTON & GLENDALE,36.92764,-76.31777
0246,HAMPTON & HELMICK,36.92587,-76.31750
0247,HAMPTON & NORTH,36.92355,-76.31645
0248,HAMPTON & BAKER,36.92303,-76.31605
0249,HAMPTON & LEUTZE,36.92110,-76.31413
0250,HAMPTON & STAFF COLLEGE,36.91917,-76.31201
0251,HAMPTON & TERMINAL,36.91816,-76.31094
0252,HAMPTON & LITTLE CREEK,36.91574,-76.30832
0253,HAMPTON & RUNNYMEDE,36.91410,-76.30698
0254,HAMPTON & NORTH SHORE,36.91087,-76.30597
0255,HAMPTON & HELENA,36.90978,-76.30587
0256,HAMPTON & LEXAN,36.90052,-76.30368
0257,HAMPTON & MANCHESTER,36.89910,-76.30322
0258,HAMPTON & SURREY,36.89650,-76.30307
0259,HAMPTON & ROCKBRIDGE,36.89458,-76.30343
0260,HAMPTON & BRUNSWICK,36.89223,-76.30412
0261,HAMPTON & BOLLING,36.89078,-76.30390
0262,HAMPTON & 49TH,36.88712,-76.30277
0263,HAMPTON & 47TH,36.88634,-76.30270
0264,HAMPTON & 45TH,36.88492,-76.30262
0265,HAMPTON & 43RD,36.88285,-76.30252
0266,HAMPTON & 40TH,36.88151,-76.30239
0267,HAMPTON & 25TH,36.87568,-76.30201
0268,HAMPTON & WOODROW,36.87145,-76.30137
0269,HAMPTON & MAURY,36.86736,-76.30049
0272,REDGATE & COLLEY,36.86400,-76.30138
0275,OLNEY & MOWBRAY ARCH 1,36.85948,-76.29803
0276,OLNEY & MOWBRAY ARCH 2,36.85737,-76.29336
0281,HAMPTON & SPOTSWOOD,36.86918,-76.30085
0282,ELSON GREEN & UPTON,36.75651,-76.00828
0283,NIMMO & UPTON,36.76220,-76.00834
0284,FIRST VIEW & BALVIEW,36.95429,-76.25551
0285,26TH & FAWN,36.87015,-76.27904
0286,26TH & GAZEL,36.87036,-76.27774
0288,26TH & RUFFIN,36.87142,-76.27577
0289,26TH & VILLA,36.87277,-76.27354
0290,LAFAYETTE & DUPONT 1,36.87420,-76.27115
0291,LAFAYETTE & DUPONT 2,36.87494,-76.26969
0292,LAFAYETTE & BELLEVUE (midblk before Lorraine),36.87774,-76.26710
0293,LAFAYETTE & LORRAINE,36.87808,-76.26550
0294,LAFAYETTE & TIDEWATER,36.87766,-76.26373
0295,LAFAYETTE & SOMME,36.87733,-76.26235
0296,LAFAYETTE & DUNKIRK,36.87712,-76.26145
0297,LAFAYETTE & SAINT MIHIEL,36.87642,-76.25870
0298,LAFAYETTE & MARNE,36.87556,-76.25510
0300,CHESAPEAKE & CROMWELL 1,36.87581,-76.25229
0301,CHESAPEAKE & CROMWELL 2,36.87649,-76.25161
0302,CHESAPEAKE & ROBINHOOD,36.87851,-76.24959
0303,CHESAPEAKE & CURIE,36.89758,-76.23858
0304,CHESAPEAKE & BUCKINGHAM,36.88126,-76.24731
0305,CHESAPEAKE & MONTGOMERY,36.88262,-76.24666
0306,CHESAPEAKE & WAYNE,36.88466,-76.24512
0307,CHESAPEAKE & ESSEX,36.88764,-76.24181
0308,CHESAPEAKE & HYDE,36.88854,-76.24047
0309,CHESAPEAKE & NORVIEW,36.88936,-76.23909
0310,CHESAPEAKE & GREEN,36.89149,-76.23763
0311,CHESAPEAKE & STRAND,36.89380,-76.23799
0312,CHESAPEAKE & DUNDALE,36.89977,-76.23896
0313,CHESAPEAKE & I-64,36.90524,-76.23980
0314,CHESAPEAKE & AVENUE E,36.90882,-76.24038
0315,CHESAPEAKE & ROSEFIELD,36.91124,-76.24081
0316,CHESAPEAKE & AVE I,36.91226,-76.24098
0317,EVELYN BUTTS & AVENUE J,36.91418,-76.24352
0318,CHESAPEAKE & LITTLE CREEK,36.91511,-76.24141
0319,CHESAPEAKE & ELK,36.91778,-76.24182
0320,CHESAPEAKE & BURKSDALE,36.92026,-76.24221
0321,CHESAPEAKE & WINSTON,36.92194,-76.24246
0322,CHESAPEAKE & SHEPPARD,36.92379,-76.24275
0323,CHESAPEAKE & FRANK,36.92640,-76.24315
0324,CHESAPEAKE & FISHERMANS,36.93026,-76.24376
0326,CHESAPEAKE & BAYVIEW,36.93374,-76.24431
0327,CHESAPEAKE & EARL,36.93562,-76.24459
0328,CHESAPEAKE & DUNE,36.93691,-76.24479
0330,CHESAPEAKE & CHESTER,36.93930,-76.24516
0331,CHESAPEAKE & WARWICK,36.94054,-76.24534
0332,CHESAPEAKE & DUDLEY,36.94300,-76.24568
0335,CHESAPEAKE & BUCKINGHAM,36.88121,-76.24766
0336,HAMPTON & RUNNYMEDE,36.91400,-76.30663
0343,CHESAPEAKE & LEICESTER,36.94192,-76.24584
0344,CHESAPEAKE & FARRELL,36.93897,-76.24535
0345,CHESAPEAKE & DUNE,36.93682,-76.24507
0346,CHESAPEAKE & EARL,36.93574,-76.24489
0347,CHESAPEAKE & BAYVIEW,36.93405,-76.24461
0348,CHESAPEAKE & FISHERMANS (mdblk bet Bayview & Fish),36.93167,-76.24426
0349,CHESAPEAKE & SHEPPARD,36.92397,-76.24307
0351,CHESAPEAKE & BURKSDALE (far),36.91966,-76.24241
0352,CHESAPEAKE & DOVERCOURT,36.91681,-76.24195
0353,CHESAPEAKE & LITTLE CREEK,36.91502,-76.24166
0354,EVELYN BUTTS & AVENUE J,36.91417,-76.24363
0355,CHESAPEAKE & AVE I,36.91267,-76.24129
0357,CHESAPEAKE & JOHNSTONS,36.90759,-76.24042
0359,CHESAPEAKE & KITRELL,36.90519,-76.24005
0360,CHESAPEAKE & DUNDALE (NHS),36.89974,-76.23921
0362,CHESAPEAKE & PICADILLY (NES),36.89680,-76.23871
0363,CHESAPEAKE & STRAND,36.89409,-76.23828
0364,CHESAPEAKE & GREEN,36.89166,-76.23790
0365,CHESAPEAKE & NORVIEW (5 pts),36.88951,-76.23927
0366,CHESAPEAKE & HYDE,36.88889,-76.24025
0367,CHESAPEAKE & CRAVEN,36.88801,-76.24158
0368,CHESAPEAKE & NANSEMOND,36.88552,-76.24460
