route_id,service_id,trip_id,direction_id,block_id
090,WE,1,0,090 -  1
090,WE,2,0,090 -  1
090,WE,3,0,090 -  1
090,WE,4,0,090 -  1
090,WE,5,0,090 -  1
090,WE,6,0,090 -  1
090,WE,7,0,090 -  1
090,WE,8,0,090 -  1
090,WE,9,0,090 -  1
090,WE,10,0,090 -  1
090,WE,11,0,090 -  1
090,WE,12,0,090 -  1
090,WE,13,0,090 -  1
090,WE,14,0,090 -  1
090,WE,15,0,090 -  1
090,WE,16,0,090 -  1
090,WE,17,0,090 -  1
090,WE,18,0,090 -  1
090,WE,19,0,090 -  1
090,WE,20,0,090 -  1
090,WE,21,0,090 -  1
090,WE,22,0,090 -  1
090,WE,23,0,090 -  1
090,WE,24,0,090 -  1
090,WE,25,0,090 -  1
090,WE,26,0,090 -  1
090,WE,27,0,090 -  1
090,WE,28,0,090 -  1
090,WE,29,0,090 -  1
090,WE,33,0,090 -  1
090,WE,35,0,090 -  1
090,WE,36,0,090 -  1
090,WE,37,0,090 -  1
090,WE,38,0,090 -  1
090,WE,76,0,090 -  1
090,WE,77,0,090 -  1
090,WE,78,0,090 -  1
090,WE,79,0,090 -  1
090,WE,80,0,090 -  1
090,WE,81,0,090 -  1
090,WE,82,0,090 -  1
090,WE,83,0,090 -  1
090,WE,84,0,090 -  1
090,WE,85,0,090 -  1
090,WE,86,0,090 -  1
090,WE,87,0,090 -  1
090,WE,88,0,090 -  1
090,WE,89,0,090 -  1
090,WE,90,0,090 -  1
090,WE,91,0,090 -  1
090,WE,92,0,090 -  1
090,WE,93,0,090 -  1
090,WE,94,0,090 -  1
090,WE,95,0,090 -  1
090,WE,96,0,090 -  1
090,WE,97,0,090 -  1
090,WE,98,0,090 -  1
090,WE,99,0,090 -  1
090,WE,100,0,090 -  1
090,WE,101,0,090 -  1
090,WE,102,0,090 -  1
090,WE,103,0,090 -  1
090,WE,104,0,090 -  1
090,WE,134,0,090 -  1
090,WE,136,0,090 -  1
090,WE,137,0,090 -  1
090,SA,200,0,090 -  1
090,SA,202,0,090 -  1
090,SA,203,0,090 -  1
090,SA,204,0,090 -  1
090,SA,205,0,090 -  1
090,SA,206,0,090 -  1
090,SA,207,0,090 -  1
090,SA,208,0,090 -  1
090,SA,209,0,090 -  1
090,SA,210,0,090 -  1
090,SA,211,0,090 -  1
090,SA,212,0,090 -  1
090,SA,213,0,090 -  1
090,SA,214,0,090 -  1
090,SA,216,0,090 -  1
090,SA,218,0,090 -  1
090,SA,220,0,090 -  1
090,SA,222,0,090 -  1
090,SA,224,0,090 -  1
090,SA,226,0,090 -  1
090,SA,228,0,090 -  1
090,SA,230,0,090 -  1
090,SA,232,0,090 -  1
090,SA,234,0,090 -  1
090,SA,236,0,090 -  1
090,SA,237,0,090 -  1
090,SA,238,0,090 -  1
090,SA,239,0,090 -  1
090,SA,240,0,090 -  1
800,MR,33000,0,800W-  1
800,MR,33001,0,800W-  3
800,MR,33002,0,800W-  2
800,MR,33003,0,800W-  4
800,MR,33004,0,800W-  5
800,MR,33005,0,800W-  1
800,MR,33006,0,800W-  3
800,MR,33007,0,800W-  6
800,MR,33008,0,800W-  2
800,MR,33009,0,800W-  4
800,MR,33010,0,800W-  5
800,MR,33011,0,800W-  1
800,MR,33012,0,800W-  3
800,MR,33013,0,800W-  6
800,MR,33014,0,800W-  2
800,MR,33015,0,800W-  4
800,MR,33016,0,800W-  5
